Clone-plant_ID,Presence
Plant_ID_1,Negative
Plant_ID_2,Negative
Plant_ID_3,Negative
Plant_ID_4,Negative
Plant_ID_5,Negative
Plant_ID_6,Positive
Plant_ID_7,Positive
Plant_ID_8,Negative
Plant_ID_9,Negative
NTC,NTC
NTC,NTC
NTC,NTC
